ItemID,ItemName,ItemDescription,Profession,ItemAtlas,ItemIcon,IconTransform,ItemAtlas1,ItemIcon1,ItemType,ItemQuality,ReqLevel,SellPrize,SortID,DoodadFx,Access,ShowTips,CanTrade,AuctionType,AuctionGroup,OverCnt,AuctionRange,AuctionUpperLimit,AuctPriceRecommend,AuctionRecentPrice,Overlap,NumberName,TimeLimit,Decompose,DecomposeGold,ItemEffect,ReqRoll,IsNeedShowTipsPanel,IsCanRecycle,Sell,BagType
25,公会总贡献,公会总贡献,0,Item/Item,22,,common/Universal,,3,2,0,,25,Common/Drop/Drop_bag,,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
27,巢穴币,兑换巢穴时装,0,Item/Item,27,,common/Universal,icon-27,3,2,0,,27,Common/Drop/Drop_bag,,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
28,骰子,大陆探险所使用的骰子,0,Item/Item,97,,common/Universal,icon-9,3,2,0,,27,Common/Drop/Drop_bag,,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
29,师徒值,师徒任务奖励,0,Item/Item,39,,common/Universal,icon-39,3,2,0,,27,Common/Drop/Drop_bag,,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
30,嘉年华积分,嘉年华活动的积分，可以兑换神兽坐骑,0,Item/Item,99,,common/Universal,,3,3,0,,1,Common/Drop/Drop_bag,,1,1,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,0,,0,,1
31,上古奥秘点,可以开启上古魂盒奖励的能量点，最终可兑换神兽坐骑大奖,0,Item/Item,99,,common/Universal,,3,3,0,,1,Common/Drop/Drop_bag,,1,1,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,0,,0,,1
32,卡牌碎片,分解卡牌获得的神奇碎片，可以在图鉴兑换中购买卡牌,0,Item/Item,903,,common/Universal,icon-903,3,0,0,,1,Common/Drop/Drop_bag,,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
33,胜点,可以在全民PK赛商店中兑换海量道具,0,Item/Item,19,,common/Universal,icon-19,3,2,0,,21,Common/Drop/Drop_bag,366=0,1,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
34,公会资源点,"公会资源点,可用于政厅升级庇护",0,Item/Item2,guild_zy,,common/Universal,icon-20,3,3,0,,8,Common/Drop/Drop_bag,260=0|261=0,0,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
35,公会科技点,公会科技点，可用于研究所研究技能,0,Item/Item2,guild_kj,,common/Universal,icon-21,3,3,0,,8,Common/Drop/Drop_bag,260=0|261=0,0,1,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,0,,0,,1
40,高级称号,达成条件系统将在称号面板自动解锁对应称号,0,Item/Item,992,,,,3,3,1,,999999,Common/Drop/Drop_bag,,1,0,0,0,99999999,0.5=1.5,1,0,,9999,个,,,,,,,,,
41,哈尔莫尼,在觉醒任务中获取，用以激活觉醒,0,Item/Item2,awakeicon,,common/Universal,icon-awakeicon,3,3,0,,5,Common/Drop/Drop_bag,,0,0,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,,,,,
42,觉醒技能点,用于学习及升级觉醒技能所需要的点数,0,Item/Item2,awakeskill,,common/Universal,icon-awakeskill,3,3,0,,5,Common/Drop/Drop_bag,505=0,0,0,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,,,,,
43,觉醒技能点,用于学习及升级觉醒技能所需要的点数,0,Item/Item2,awakeskill,,common/Universal,icon-awakeskill,3,3,0,,5,Common/Drop/Drop_bag,505=0,0,0,0,0,99999999,0.5=1.5,0,0,,0,个,,,,,,,,,
50,随机龙玉袋子,打开可获得随机的1级龙玉,0,Item/Item,83,,common/Universal,,2,2,1,,90000,Common/Drop/Drop_bag,150=0,1,0,0,0,1,0.5=1.5,20,0,,20,个,,,,,1,,0,,2
51,传令之蓝鸟,将消息传达到世界的神奇蓝鸟，世界频道发言时的必需品！,0,Item/Item,30,,common/Universal,,4,2,0,,40000,Common/Drop/Drop_bag,,1,0,0,0,20,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
52,染色剂,消耗染发剂可改变发型颜色{n}穿戴发型后可在衣柜中选择发型进行染发操作,0,Item/Item,9,,common/Universal,icon-705,4,3,0,,40000,Common/Drop/Drop_bag,211=0|212=0,1,0,0,0,20,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
53,钻石潘多拉之心,钻石潘多拉之心,0,Item/Item,53,,common/Universal,,4,4,1,,90088,Common/Drop/Drop_bag,,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
54,日常任务大礼包,打开获得：{n}1个红色火焰菇{n}1个夏季甜萝卜{n}1个芝麻{n}1个蒸鱼(弓手专属）{n}1个盐烤鲤鱼(牧师专属）{n}1个松饼(战士专属）{n}1个泡菜(法师专属）{n}1个南瓜饼(学者专属）{n}1个蛋包饭（刺客专属）,0,Item/Item,56,,common/Universal,,2,3,1,,90001,Common/Drop/Drop_bag,,1,0,0,0,99999999,0.5=1.5,99,0,,9999,个,,,,,0,,0,,2
56,竞技场宝箱,有概率获得金币、龙币等各种随机好礼！,0,Item/Item,56,,common/Universal,,2,2,1,,90001,Common/Drop/Drop_bag,,1,0,0,0,99999999,0.5=1.5,99,0,,9999,个,,,,,0,,0,,2
57,深渊装备锻造石,用来锻造深渊装备的神奇石头，可在深渊商店中兑换,0,Item/Item,24,,common/Universal,icon-24,4,2,1,,40016,Common/Drop/Drop_bag,232=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,1=10000,1
58,深渊首饰锻造石,用来锻造深渊首饰的神奇石头，可在无尽深渊中兑换,0,Item/Item,55,,common/Universal,icon-55,4,2,1,,40017,Common/Drop/Drop_bag,233=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,1=20000,1
59,光明气息卷轴,充满光明气息的卷轴{n}收集30个可以兑换耀天主武器{n}收集12个可以兑换耀天副手。,0,Item/Item,108,,common/Universal,,4,4,1,,40000,Common/Drop/Drop_bag,211=0,1,0,0,0,100,0.5=1.5,999,0,,9999,个,,,1000,,1,,1,,1
60,光明奇迹宝箱,打开必定获得光明气息卷轴 * 1{n}可能额外获得耀天武器或者耀天副手,0,Item/Item,56,,common/Universal,,2,4,1,,90096,Common/Drop/Drop_bag,,1,0,0,0,999,0.5=1.5,999,0,,9999,个,,,,,1,,0,,2
61,阵营印记,在活动界面贡献阵营印记，每个道具可为己方阵营增加5积分,0,Item/Item,153,,common/Universal,icon-500,4,2,1,10000,40016,Common/Drop/Drop_bag,504=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,1209600,,,,1,,0,,1
62,绿色晶体,强化突破到21级的珍贵晶体,0,Item/Item,500,,common/Universal,icon-500,4,2,1,10000,40016,Common/Drop/Drop_bag,13=0|211=0|212=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,1=10000,1
63,蓝色晶体,强化突破到41级的珍贵晶体,0,Item/Item,501,,common/Universal,icon-501,4,2,1,20000,40017,Common/Drop/Drop_bag,13=0|211=0|212=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,1=20000,1
64,橙色晶体,强化突破到61级的珍贵晶体,0,Item/Item,502,,common/Universal,icon-502,4,2,1,30000,40018,Common/Drop/Drop_bag,13=0|211=0|212=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,1=30000,1
65,紫色晶体,强化突破到81级的珍贵晶体,0,Item/Item,503,,common/Universal,icon-503,4,2,1,40000,40019,Common/Drop/Drop_bag,13=0|211=0|212=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,1=40000,1
66,红色晶体,强化突破到101级的珍贵晶体,0,Item/Item,504,,common/Universal,icon-504,4,2,1,50000,40020,Common/Drop/Drop_bag,13=0|211=0|212=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,1=50000,1
67,英雄币,可以在英雄战场上兑换大部分英雄,0,Item/Item,41,,common/Universal,icon-41,4,2,1,,67,Common/Drop/Drop_bag,212=0|231=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
68,高级英雄币,可以在英雄战场上兑换稀有英雄,0,Item/Item,42,,common/Universal,icon-42,4,3,1,,68,Common/Drop/Drop_bag,212=0|231=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
69,S品质套装,龙本产出的材料可以制作S品质套装,0,Item/Fashion_1,18_1_1,,,,4,4,1,,1001,,,1,0,0,0,1,0.5=1.5,1,0,,1,个,,1=10000,,,1,,1,,1
70,奖励找回券,在进行奖励找回时，可以优先使用该道具抵扣龙币进行找回,0,Item/Item,18,,common/Universal,icon-18,4,2,0,,40000,Common/Drop/Drop_bag,,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
71,地狱犬的胸牌,制作地狱犬套装主武器的核心材料,0,Item/EquipCreate,dyq_1,,common/Universal,icon-14,4,3,24,,40028,Common/Drop/Drop_bag,126=1017|210=0,1,1,7,1,1,0.5=1.5,999,40,10000=5=60,9999,个,,,10,,1,,1,,1
72,地狱犬的磨牙棒,制作地狱犬套装副手的核心材料,0,Item/EquipCreate,dyq_2,,common/Universal,icon-501,4,3,24,,40027,Common/Drop/Drop_bag,126=1017|210=0,1,1,7,1,1,0.5=1.5,999,40,10000=5=60,9999,个,,,10,,1,,1,,1
73,地狱犬的耳朵,制作地狱犬套装头盔的核心材料,0,Item/EquipCreate,dyq_3,,common/Universal,icon-14,4,3,24,,40023,Common/Drop/Drop_bag,126=1015|127=1016|210=0,1,1,7,1,1,0.5=1.5,999,40,10000=5=60,9999,个,,,10,,1,,1,,1
74,地狱犬的前掌,制作地狱犬套装上装的核心材料,0,Item/EquipCreate,dyq_4,,common/Universal,icon-501,4,3,24,,40024,Common/Drop/Drop_bag,126=1016|210=0,1,1,7,1,1,0.5=1.5,999,40,10000=5=60,9999,个,,,10,,1,,1,,1
75,地狱犬的后掌,制作地狱犬套装下装的核心材料,0,Item/EquipCreate,dyq_5,,common/Universal,icon-14,4,3,24,,40025,Common/Drop/Drop_bag,126=1016|210=0,1,1,7,1,1,0.5=1.5,999,40,10000=5=60,9999,个,,,10,,1,,1,,1
76,地狱犬的尾巴,制作地狱犬套装手套和鞋子的核心材料,0,Item/EquipCreate,dyq_6,,common/Universal,icon-501,4,3,24,,40026,Common/Drop/Drop_bag,126=1015|210=0,1,1,7,1,1,0.5=1.5,999,40,10000=5=60,9999,个,,,10,,1,,1,,1
77,地狱犬的骨头,制作地狱犬套装武器和副手的辅助材料,0,Item/EquipCreate,dyq_7,,common/Universal,icon-14,4,2,24,,40021,Common/Drop/Drop_bag,126=1017|210=0,1,1,7,1,1,1=1,999,10,10000=2=15,9999,个,,,,,1,,0,1=2000,1
78,地狱犬的皮毛,制作地狱犬套装防具的辅助材料,0,Item/EquipCreate,dyq_8,,common/Universal,icon-501,4,2,24,,40022,Common/Drop/Drop_bag,126=1015|127=1016|210=0,1,1,7,1,1,1=1,999,10,10000=2=15,9999,个,,,,,1,,0,1=2000,1
79,破碎的阳光碎片,制作12级B品质套装武器和副手的消耗材料,0,Item/Item,79,,common/Universal,icon-14,4,1,12,1000,40001,Common/Drop/Drop_bag,102=115|210=0,1,1,6,1,100,1=1,999,5,10000=1=7,9999,个,,,,,1,,0,1=1000,1
80,破碎的月光碎片,制作12级B品质套装套装防具的消耗材料,0,Item/Item,80,,common/Universal,icon-501,4,1,12,1000,40002,Common/Drop/Drop_bag,102=112|103=114|210=0,1,1,6,1,100,1=1,999,5,10000=1=7,9999,个,,,,,1,,0,1=1000,1
81,普通的阳光碎片,制作地狱犬套装武器和副手的消耗材料,0,Item/Item,116,,common/Universal,icon-14,4,1,24,1000,40003,Common/Drop/Drop_bag,102=216|103=316|210=0|232=0|236=0,1,1,6,1,100,1=1,999,5,10000=1=7,9999,个,,,,,1,,0,1=1000,1
82,普通的月光碎片,制作地狱犬装套装防具的消耗材料,0,Item/Item,117,,common/Universal,icon-501,4,1,24,1000,40004,Common/Drop/Drop_bag,102=212|103=214|104=312|97=314|210=0|232=0|236=0,1,1,6,1,100,1=1,999,5,10000=1=7,9999,个,,,,,1,,0,1=1000,1
83,精致的阳光碎片,制作狮蝎套装武器和副手的消耗材料,0,Item/Item,118,,common/Universal,icon-14,4,1,33,1000,40005,Common/Drop/Drop_bag,102=416|210=0|233=0|237=0,1,1,6,2,100,1=1,999,5,10000=1=7,9999,个,,,,,1,,0,1=1000,1
84,精致的月光碎片,制作狮蝎套装套装防具的消耗材料,0,Item/Item,119,,common/Universal,icon-501,4,1,33,1000,40006,Common/Drop/Drop_bag,102=412|103=414|210=0|233=0|237=0,1,1,6,2,100,1=1,999,5,10000=1=7,9999,个,,,,,1,,0,1=1000,1
85,水龙之鳞,神秘鳞片，可以凭借其力量进入海龙巢穴。,0,Item/Item,85,,common/Universal,,15,3,1,,31,Common/Drop/Drop_bag,212=0|376=1027|367=1035|368=1036|369=1037|370=1045|371=1046|372=1047|373=1055|374=1056|375=1057,1,0,0,0,1,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
86,扎卡德之心,犹如心脏的神秘宝石，可凭借其中魔力进入沙漠龙副本,0,Item/Item,910,,common/Universal,,15,3,1,,31,Common/Drop/Drop_bag,376=1027|367=1035|368=1036|369=1037|370=1045|371=1046|372=1047|373=1055|374=1056|375=1057,1,0,0,0,1,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
87,扫荡卷,用于深渊副本扫荡,0,Item/Item,87,,common/Universal,,4,3,1,,40000,Common/Drop/Drop_bag,500=0,1,0,0,0,100,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
88,女神的眼泪,可用于在女神商店中兑换龙玉等道具,0,Item/Item,88,,common/Universal,icon-88,4,2,1,,30,Effects/FX_Particle/Scene/Lzg_scene/gold_05,500=0,1,0,0,0,100,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
89,堕落魔石,神秘的魔石，可以凭借其中的力量进入绿龙巢穴。,0,Item/Item,142,,common/Universal,,15,3,1,,31,Common/Drop/Drop_bag,212=0|372=1047|373=1055|374=1056|375=1057,1,0,0,0,1,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
90,红玫瑰,赠送或收取的鲜花道具,0,Item/Item,90,,common/Universal,icon-90,4,1,1,,40000,Common/Drop/Drop_bag,211=0,1,0,0,0,20,0.5=1.5,999,0,,9999,朵,,,,,1,,0,,1
91,白玫瑰,赠送或收取的鲜花道具,0,Item/Item,91,,common/Universal,icon-91,4,2,1,,40000,Common/Drop/Drop_bag,211=0,1,0,0,0,20,0.5=1.5,999,0,,9999,朵,,,,,1,,0,,1
92,蓝色妖姬,赠送或收取的鲜花道具,0,Item/Item,92,,common/Universal,icon-92,4,3,1,,40000,Common/Drop/Drop_bag,211=0,1,0,0,0,10,0.5=1.5,999,0,,9999,朵,,,,,1,,0,,1
93,绿玛瑙,用来将装备强化至20级{n}{n}3个绿玛瑙可合成为1个蓝玛瑙,0,Item/Item,69,,common/Universal,icon-69,4,1,1,,40011,1|Effects/FX_Particle/Scene/Lzg_scene/gold_04|Effects/FX_models/Drop/Drop_down,212=0|124=0|108=0|151=0|211=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
94,蓝玛瑙,用来将装备强化至40级{n}{n}3个蓝玛瑙可合成为1个橙玛瑙,0,Item/Item,93,,common/Universal,icon-93,4,1,1,,40012,1|Effects/FX_Particle/Scene/Lzg_scene/gold_04|Effects/FX_models/Drop/Drop_down,212=0|124=0|108=0|151=0|211=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
95,橙玛瑙,用来将装备强化至60级{n}{n}3个橙玛瑙可合成为1个紫玛瑙,0,Item/Item,94,,common/Universal,icon-94,4,1,1,,40013,1|Effects/FX_Particle/Scene/Lzg_scene/gold_04|Effects/FX_models/Drop/Drop_down,212=0|124=0|108=0|151=0|211=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
96,紫玛瑙,用来将装备强化至80级{n}{n}3个紫玛瑙可合成为1个红玛瑙,0,Item/Item,95,,common/Universal,icon-95,4,1,1,,40014,1|Effects/FX_Particle/Scene/Lzg_scene/gold_04|Effects/FX_models/Drop/Drop_down,212=0|124=0|108=0|151=0|211=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
97,红玛瑙,用来将装备强化至100级,0,Item/Item,96,,common/Universal,icon-96,4,1,1,,40015,1|Effects/FX_Particle/Scene/Lzg_scene/gold_04|Effects/FX_models/Drop/Drop_down,212=0|124=0|108=0|151=0|211=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
98,漆黑的羽毛,漆黑的羽毛，可以凭借其力量进入黑龙巢穴。,0,Item/Item,BlackDragonTicket,,common/Universal,,15,3,1,,31,Common/Drop/Drop_bag,212=0|376=1087,1,0,0,0,1,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
99,神奇的饲料,神奇的饲料，怎么都不会觉得饱！,0,Item/Item,zq_1_2,,,,14,3,1,,90092,1|Effects/FX_Particle/Scene/Lzg_scene/gold_04|Effects/FX_models/Drop/Drop_down,211=0|212=0,1,0,0,0,99999999,0.5=1.5,999,0,,9999,个,,,,,1,,0,,1
100,狮蝎的爪子,制作狮蝎套装主武器的核心材料,0,Item/EquipCreate,sx_1,,common/Universal,icon-14,4,3,33,,40036,Common/Drop/Drop_bag,126=1027|210=0,1,1,7,2,1,0.5=1.5,999,40,10000=5=60,9999,个,,,10,,1,,1,,1
101,狮蝎的陈旧脚镣,制作狮蝎套装副手的核心材料,0,Item/EquipCreate,sx_2,,common/Universal,icon-501,4,3,33,,40035,Common/Drop/Drop_bag,126=1027|210=0,1,1,7,2,1,0.5=1.5,999,40,10000=5=60,9999,个,,,10,,1,,1,,1
102,狮蝎的眼睛,制作狮蝎套装头盔的核心材料,0,Item/EquipCreate,sx_3,,common/Universal,icon-14,4,3,33,,40031,Common/Drop/Drop_bag,126=1025|127=1026|210=0,1,1,7,2,1,0.5=1.5,999,40,10000=5=60,9999,个,,,10,,1,,1,,1
103,狮蝎的肩膀,制作狮蝎套装上装的核心材料,0,Item/EquipCreate,sx_4,,common/Universal,icon-501,4,3,33,,40032,Common/Drop/Drop_bag,126=1026|210=0,1,1,7,2,1,0.5=1.5,999,40,10000=5=60,9999,个,,,10,,1,,1,,1
104,狮蝎的肚皮,制作狮蝎套装下装的核心材料,0,Item/EquipCreate,sx_5,,common/Universal,icon-14,4,3,33,,40033,Common/Drop/Drop_bag,126=1026|210=0,1,1,7,2,1,0.5=1.5,999,40,10000=5=60,9999,个,,,10,,1,,1,,1
105,狮蝎的鬃毛,制作狮蝎套装手套和鞋子的核心材料,0,Item/EquipCreate,sx_6,,common/Universal,icon-501,4,3,33,,40034,Common/Drop/Drop_bag,126=1025|210=0,1,1,7,2,1,0.5=1.5,999,40,10000=5=60,9999,个,,,10,,1,,1,,1
106,狮蝎的尾巴,制作狮蝎套装武器和副手的辅助材料,0,Item/EquipCreate,sx_7,,common/Universal,icon-14,4,2,33,,40029,Common/Drop/Drop_bag,126=1027|210=0,1,1,7,2,1,1=1,999,10,10000=2=15,9999,个,,,,,1,,0,1=2000,1
107,狮蝎的零食,制作狮蝎套装防具的辅助材料,0,Item/EquipCreate,sx_8,,common/Universal,icon-501,4,2,33,,40030,Common/Drop/Drop_bag,126=1025|127=1026|210=0,1,1,7,2,1,1=1,999,10,10000=2=15,9999,个,,,,,1,,0,1=2000,1
108,阳光碎片,制作巢穴A品质套装武器和副手的消耗材料,0,Item/Item,116,,common/Universal,icon-14,4,1,24,1000,40003,Common/Drop/Drop_bag,102=216|103=316|210=0,1,0,0,0,9999,0.5=1.5,999,0,,9999,个,,,,,1,,0,1=1000,1
109,月光碎片,制作巢穴A品质装套装防具的消耗材料,0,Item/Item,117,,common/Universal,icon-501,4,1,24,1000,40004,Common/Drop/Drop_bag,102=212|103=214|104=312|97=314|210=0,1,0,0,0,9999,0.5=1.5,999,0,,9999,个,,,,,1,,0,1=1000,1
110,B品质项链,B品质项链,0,Item/Equip,1_7,,,,4,2,1,,200,,,1,0,0,0,9999,0.5=1.5,1,0,,1,个,,,,,1,,0,,1
111,B品质耳环,B品质耳环,0,Item/Equip,1_8,,,,4,2,1,,200,,,1,0,0,0,9999,0.5=1.5,1,0,,1,个,,,,,1,,0,,1
112,B品质戒指,B品质戒指,0,Item/Equip,1_9,,,,4,2,1,,200,,,1,0,0,0,9999,0.5=1.5,1,0,,1,个,,,,,1,,0,,1
113,A品质套装,巢穴产出的材料可以制作A品质套装,0,Item/Equip,3_1,,,,4,3,1,,702,,,1,0,0,0,1,0.5=1.5,1,0,,1,个,,,,,1,,0,,1
114,A品质套装项链,巢穴产出的A品质套装项链,0,Item/Equip,3_7,,,,4,3,1,,703,,,1,0,0,0,1,0.5=1.5,1,0,,1,个,,,,,1,,0,,1
115,A品质套装耳环,巢穴产出的A品质套装耳环,0,Item/Equip,3_8,,,,4,3,1,,703,,,1,0,0,0,1,0.5=1.5,1,0,,1,个,,,,,1,,0,,1
116,A品质套装戒指,巢穴产出的A品质套装戒指,0,Item/Equip,3_9,,,,4,3,1,,703,,,1,0,0,0,1,0.5=1.5,1,0,,1,个,,,,,1,,0,,1
117,防御洗炼石,洗炼Ａ品质防具的消耗材料,0,Item/Item,991,,common/Universal,icon-991,4,1,1,,40006,Common/Drop/Drop_bag,,1,0,0,0,100,0.5=1.5,999,0,,9999,个,,,,,1,,0,1=1000,1
118,攻击洗炼石,洗炼Ａ品质武器和首饰的消耗材料,0,Item/Item,68,,common/Universal,icon-68,4,1,1,,40006,Common/Drop/Drop_bag,,1,0,0,0,100,0.5=1.5,999,0,,9999,个,,,,,1,,0,1=1000,1
119,普通的金属板袋子,打开有一定几率获得C品质属性金属板,0,Item/Item,81,,common/Universal,,2,1,1,,90016,Common/Drop/Drop_bag,,1,0,0,0,100,0.5=1.5,20,0,,20,个,,,,,1,,0,,2
120,优秀的金属板袋子,打开有一定几率获得B品质属性金属板,0,Item/Item,81,,common/Universal,,2,2,1,,90017,Common/Drop/Drop_bag,,1,0,0,0,100,0.5=1.5,20,0,,20,个,,,,,1,,0,,2
